Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
2.85203	Src1	0	211	LastDelay	0.74203	742030	1	1
2.85203	Src1	0	211	FullDelay	0.74203	742030	1	1
2.85683	Src1	0	226	LastDelay	0.596834	596834	1	1
2.85683	Src1	0	226	FullDelay	0.596834	596834	1	1
2.86523	Src2	0	210	LastDelay	0.76523	765230	1	1
2.86523	Src2	0	210	FullDelay	0.76523	765230	1	1
2.86883	Src2	0	226	LastDelay	0.608834	608834	1	1
2.86883	Src2	0	226	FullDelay	0.608834	608834	1	1
2.87723	Src1	0	210	LastDelay	0.77723	777230	1	1
2.87723	Src1	0	210	FullDelay	0.77723	777230	1	1
2.88203	Src2	0	227	LastDelay	0.612034	612034	1	1
2.88203	Src2	0	227	FullDelay	0.612034	612034	1	1
2.88923	Src2	0	209	LastDelay	0.79923	799230	1	1
2.88923	Src2	0	209	FullDelay	0.79923	799230	1	1
2.89403	Src1	0	229	LastDelay	0.604034	604034	1	1
2.89403	Src1	0	229	FullDelay	0.604034	604034	1	1
2.90123	Src1	0	213	LastDelay	0.77123	771230	1	1
2.90123	Src1	0	213	FullDelay	0.77123	771230	1	1
2.90603	Src1	0	231	LastDelay	0.596034	596034	1	1
2.90603	Src1	0	231	FullDelay	0.596034	596034	1	1
2.91443	Src2	0	211	LastDelay	0.80443	804430	1	1
2.91443	Src2	0	211	FullDelay	0.80443	804430	1	1
2.91803	Src2	0	231	LastDelay	0.608034	608034	1	1
2.91803	Src2	0	231	FullDelay	0.608034	608034	1	1
2.92643	Src2	0	214	LastDelay	0.78643	786430	1	1
2.92643	Src2	0	214	FullDelay	0.78643	786430	1	1
2.93123	Src1	0	232	LastDelay	0.611234	611234	1	1
2.93123	Src1	0	232	FullDelay	0.611234	611234	1	1
2.93843	Src1	0	214	LastDelay	0.79843	798430	1	1
2.93843	Src1	0	214	FullDelay	0.79843	798430	1	1
2.94323	Src2	0	232	LastDelay	0.623234	623234	1	1
2.94323	Src2	0	232	FullDelay	0.623234	623234	1	1
2.95043	Src2	0	215	LastDelay	0.80043	800430	1	1
2.95043	Src2	0	215	FullDelay	0.80043	800430	1	1
2.95643	Src1	0	234	LastDelay	0.616434	616434	1	1
2.95643	Src1	0	234	FullDelay	0.616434	616434	1	1
2.96363	Src1	0	218	LastDelay	0.78363	783630	1	1
2.96363	Src1	0	218	FullDelay	0.78363	783630	1	1
2.96843	Src2	0	234	LastDelay	0.628434	628434	1	1
2.96843	Src2	0	234	FullDelay	0.628434	628434	1	1
2.97563	Src2	0	219	LastDelay	0.78563	785630	1	1
2.97563	Src2	0	219	FullDelay	0.78563	785630	1	1
2.98043	Src1	0	235	LastDelay	0.630434	630434	1	1
2.98043	Src1	0	235	FullDelay	0.630434	630434	1	1
2.98763	Src1	0	220	LastDelay	0.78763	787630	1	1
